score,label
5.645879e+12,0
1.0554106e+13,0
1.1568578e+13,0
1.8266402e+12,0
8.061471e+12,0
1.528295e+13,0
5.011659e+12,0
1.2961496e+11,0
1.3677258e+13,0
7.8677714e+12,0
7.795016e+12,0
3.4094137e+12,0
1.5219981e+13,0
1.206139e+13,0
2.6519114e+13,0
3.9964377e+10,0
1.9871138e+13,0
1.9642288e+13,0
7.357248e+12,0
1.1354344e+12,0
7.5761147e+12,0
1.6694276e+13,0
5.9699914e+11,0
8.596628e+12,0
9.936907e+12,0
1.0341234e+13,0
1.1546934e+13,0
1.2574233e+13,0
1.9059526e+13,0
9.14204e+10,0
2.08064e+12,0
1.5041825e+13,0
1.2092712e+13,0
3.5541645e+08,0
1.0575534e+13,0
1.0659339e+13,0
9.874934e+08,0
5.5253344e+12,0
7.135989e+12,0
1.569401e+13,0
1.4124543e+12,0
1.0030175e+13,0
3.4722555e+09,0
9.709561e+12,0
1.420111e+12,0
7.73152e+12,0
1.1793364e+13,0
1.7375185e+13,0
2.3889142e+11,0
2.222086e+09,0
9.076608e+12,0
1.3978588e+12,0
2.0504488e+13,0
4.8274356e+07,0
3.8565245e+08,0
4.6527383e+12,0
1.5300998e+13,0
514.3878,0
500.48108,0
1.8364312e+09,0
1.3084841e+13,0
1.7816407e+13,0
1.8127518e+13,0
3.5686137e+12,0
9.3991213e+11,0
1.2409231e+06,0
1.2405382e+06,0
2.2662527e+12,0
1.0293619e+13,0
5.4217508e+07,0
8.3186266e+12,0
1.1562713e+11,0
2.9425517e+13,0
1.0099045e+11,0
1.3111183e+10,0
1.4535148e+07,0
4.8215527e+10,0
2.7128717e+10,0
8.652811e+10,0
5.1523797e+10,0
1.6435157e+11,0
5.8377103e+09,0
1.0176781e+10,0
7.9398265e+10,0
3.265237e+11,0
1.3024748e+11,0
3.9269322e+09,0
1.3800302e+11,0
4.870432e+09,0
1.0632886e+10,0
5.3219037e+10,0
1.2810073e+13,0
5.6871567e+10,0
3.0351824e+12,0
1.6394877e+09,0
2.0262744e+10,0
2.055837e+10,0
1.9030677e+13,0
1.6699351e+11,0
3.035716e+10,0
1.1279246e+13,0
1.5737047e+11,0
2.4677057e+10,0
1.218051e+13,0
7.854275e+10,0
3.9688568e+12,0
9.566314e+10,0
3.040277e+10,0
6.3078085e+12,0
1.5121452e+11,0
1.2072463e+11,0
1.6354366e+13,0
7.36663e+09,0
2.3928446e+13,0
1.5472412e+11,0
1.9981013e+10,0
3.3971228e+12,0
2.0117376e+11,0
1.135487e+13,0
1.4715647e+11,0
2.5091493e+11,0
8.668426e+12,0
4.2768814e+09,0
2.4491848e+11,0
3.027115e+12,0
8.584079e+10,0
2.9481957e+12,0
1.6323211e+10,0
3.5954577e+10,0
1.568026e+12,0
6.886257e+10,0
1.3312076e+11,0
2.0251e+11,0
4.972418e+12,0
1.5728568e+11,0
7.571163e+10,0
5.587218e+09,0
1.6631192e+13,0
1.01097955e+11,0
5.1803087e+10,0
3.332909e+07,0
4.593462e+08,0
4.862274e+10,0
2.0939236e+13,0
6.118881e+10,0
3.410953e+12,0
2.1193509e+10,0
4.4088005e+10,0
1.7023162e+13,0
2.2909621e+12,0
1.4161213e+13,0
7.837145e+12,0
2.0367503e+11,0
7.487142e+10,0
1.2560398e+11,0
5.298135e+12,0
1.435259e+11,0
4.9097925e+12,0
2.5746365e+11,0
2.4354308e+11,0
1.0457949e+13,0
2.7434002e+09,0
1.0642323e+13,0
1.4965662e+11,0
2.3223534e+11,0
1.7341059e+13,0
8.248737e+10,0
1.3194924e+13,0
1.497797e+13,0
2.4354416e+11,0
5.9826913e+12,0
1.0370751e+11,0
2.8923822e+10,0
2.1793937e+13,0
5.1685614e+10,0
6.2237384e+12,0
1.1586256e+11,0
3.395523e+12,0
9.511788e+09,0
2.1888793e+10,0
6.522914e+12,0
1.4842026e+11,0
9.17837e+10,0
2.1309194e+10,0
2.0830256e+11,0
1.8434642e+10,0
1.3981054e+10,0
7.268418e+10,0
4.8296037e+12,0
879703.44,0
1.4066488e+11,0
8.139291e+07,0
6.854314e+07,0
3.316749e+08,0
6.6477564e+12,0
9.9810376e+07,0
8.510096e+07,0
1.9574056e+13,0
9.039794e+07,0
